"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-14.7053995212854,0.824686444525277,-17.8315038629626,0.00000000000000000000000000000000000000000000000000000000000000000000004024488401881,"whiff","R","FF"
"pitch_speed",0.0976659509919938,0.00890924459743311,10.9623155952114,0.000000000000000000000000000579961264407077,"whiff","R","FF"
"pfx_z",0.102129727317275,0.0148149203037155,6.89370750726626,0.0000000000054356731964886,"whiff","R","FF"
"pfx_total",-0.0997386809180403,0.0149487463857826,-6.67204314957806,0.0000000000252266367068248,"whiff","R","FF"
"zone1",-0.180534567459131,0.145257357047081,-1.24286005975323,0.213919405866144,"whiff","R","FF"
"zone2",-0.224648427401909,0.117870962160053,-1.90588439497818,0.0566652061043957,"whiff","R","FF"
"zone3",-0.0842350847269882,0.138941942908057,-0.606261025029205,0.54434143525137,"whiff","R","FF"
"zone4",-0.533464377628949,0.138137636396432,-3.8618322388114,0.00011253983665045,"whiff","R","FF"
"zone6",0.0662589794598794,0.114455113025152,0.578907990290645,0.562651258452466,"whiff","R","FF"
"zone7",-0.511105026358124,0.270307703161277,-1.89082671481684,0.0586474797852197,"whiff","R","FF"
"zone8",0.0453377387445881,0.169522297458148,0.267444102778168,0.789127246542632,"whiff","R","FF"
"zone9",-0.0083035769977926,0.18959510905616,-0.0437963671063528,0.96506672293664,"whiff","R","FF"
"zone11",0.1892501630634,0.165121682925643,1.14612544948819,0.251743248781345,"whiff","R","FF"
"zone12",-0.0973967538934402,0.162995024165232,-0.597544338498988,0.550144013764156,"whiff","R","FF"
"zone13",0.174760288695474,0.276390593726907,0.632294631807007,0.527194370709114,"whiff","R","FF"
"zone14",0.271348627115149,0.200238210092098,1.35512910842713,0.175376426063872,"whiff","R","FF"
"dist_z",1.12300814247884,0.0951005375847591,11.808641370486,0.000000000000000000000000000000035220648945707,"whiff","R","FF"
"dist_prop",0.835378947358394,0.258420397888435,3.23263548150344,0.00122653960206028,"whiff","R","FF"
"I(dist_x^2)",-0.837051103814699,0.0968144628019133,-8.64593036607912,0.00000000000000000533686544396849,"whiff","R","FF"
"I(dist_z^2)",-0.9047779941308,0.0982870364052538,-9.20546622649451,0.0000000000000000000340191165133767,"whiff","R","FF"
"release_spin_rate",0.000683748235861041,0.000135054917682508,5.06274223548396,0.00000041326845340125,"whiff","R","FF"
"pred",17.7277512836683,0.754132616527332,23.5074718890982,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342072614770228,"whiff","R","FF"
"(Intercept)",4.1912237627553,1.68061670325106,2.49386058977494,0.0126362163287776,"Barrel","R","FF"
"pitch_speed",-0.084656342586603,0.0181945051133136,-4.65285216934297,0.00000327374955683577,"Barrel","R","FF"
"zone1",-0.0634850999595507,0.240535549657632,-0.263932296285987,0.791832088907933,"Barrel","R","FF"
"zone2",-0.124511072788055,0.181693414428427,-0.685281154409162,0.493166521542549,"Barrel","R","FF"
"zone3",-0.270437484684789,0.231767159117974,-1.16684989242644,0.243270994335019,"Barrel","R","FF"
"zone4",0.441829272119709,0.160020664462087,2.7610763497635,0.00576112065682008,"Barrel","R","FF"
"zone6",0.00678497978996717,0.153649756449108,0.0441587409363352,0.964777869913657,"Barrel","R","FF"
"zone7",0.719837597897357,0.297232588738972,2.4217990394368,0.0154438884743918,"Barrel","R","FF"
"zone8",-0.204322131750439,0.266164701794388,-0.767652999713979,0.442693366112704,"Barrel","R","FF"
"zone9",-0.573487765048859,0.336672775782224,-1.70339809542491,0.0884935938952856,"Barrel","R","FF"
"zone11",0.00616977337332155,0.378340835265117,0.016307447672145,0.986989115949096,"Barrel","R","FF"
"zone12",0.240412995250995,0.337710297539818,0.711891218604753,0.476532140354016,"Barrel","R","FF"
"zone13",0.403238119410118,0.54919228314765,0.734238502221831,0.462803391410794,"Barrel","R","FF"
"zone14",-13.5699924633543,160.801612709475,-0.0843896540258683,0.932746632835261,"Barrel","R","FF"
"dist_z",0.337862811621094,0.205238986959865,1.64619216176099,0.0997242025151351,"Barrel","R","FF"
"I(dist_x^2)",-1.02401852999833,0.135209807330712,-7.57355217209694,0.0000000000000363154767894009,"Barrel","R","FF"
"I(dist_z^2)",-1.03899219657125,0.164294542878255,-6.32396048200558,0.000000000254942950232088,"Barrel","R","FF"
"release_spin_rate",-0.000495628098165727,0.000270665537612181,-1.83114593212779,0.0670787642964392,"Barrel","R","FF"
"pred",96.2176810868326,6.16542213890414,15.60601673642,0.0000000000000000000000000000000000000000000000000000006624589397679,"Barrel","R","FF"
"(Intercept)",-5.16747753150521,0.275443619848588,-18.7605635387226,0.00000000000000000000000000000000000000000000000000000000000000000000000000000158707934228116,"STRIKE","R","FF"
"pfx_z",0.0259886697867627,0.00481496075225768,5.39748320369527,0.0000000675821982488336,"STRIKE","R","FF"
"zone1",-0.721201688179028,0.106881257313716,-6.74769090769741,0.0000000000150216522362508,"STRIKE","R","FF"
"zone2",-0.692000313573638,0.0815558819233988,-8.4849835138022,0.0000000000000000215749318053062,"STRIKE","R","FF"
"zone3",-0.517692069589429,0.0968715131294524,-5.34411049095125,0.0000000908621337753556,"STRIKE","R","FF"
"zone4",-0.65500120249031,0.0920608383139125,-7.11487332167086,0.00000000000112015671934618,"STRIKE","R","FF"
"zone6",-0.109661727208249,0.079497436611992,-1.37943727347438,0.167759973681594,"STRIKE","R","FF"
"zone7",0.343977491432566,0.121371011047082,2.83409925043083,0.00459550568314815,"STRIKE","R","FF"
"zone8",0.219878450629892,0.0898668434441645,2.44671385132722,0.0144165244741877,"STRIKE","R","FF"
"zone9",0.558144258375109,0.104833205716327,5.32411705395539,0.000000101444569301421,"STRIKE","R","FF"
"zone11",-0.416732922770986,0.122458840609497,-3.40304481650194,0.000666393487542442,"STRIKE","R","FF"
"zone12",-0.863414479533241,0.112037450147511,-7.70648098824501,0.0000000000000129334495843478,"STRIKE","R","FF"
"zone13",-0.602688669140122,0.15915058660531,-3.78690824831689,0.000152533391419005,"STRIKE","R","FF"
"zone14",-0.823620147611078,0.120902381413627,-6.8122739848551,0.00000000000960679164564877,"STRIKE","R","FF"
"dist_x",-0.251604641079701,0.0416585546765881,-6.03968723910388,0.00000000154413236484496,"STRIKE","R","FF"
"dist_z",0.23800343572407,0.0448778575984787,5.30336001895371,0.00000011369038986267,"STRIKE","R","FF"
"dist_prop",3.31973962486125,0.184671851546019,17.9764246530771,0.00000000000000000000000000000000000000000000000000000000000000000000000298106790335681,"STRIKE","R","FF"
"I(dist_x^2)",-1.85264115522001,0.0763662219712214,-24.2599556112411,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000519153070159658,"STRIKE","R","FF"
"I(dist_z^2)",-1.87265063307837,0.0781119703286846,-23.9739264698933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000520302942334858,"STRIKE","R","FF"
"release_spin_rate",0.00018289037879784,0.0000864537308247954,2.11547121278642,0.0343898059393185,"STRIKE","R","FF"
"pred",9.27638591489884,0.575005070374744,16.1327028105217,0.000000000000000000000000000000000000000000000000000000000150296464513262,"STRIKE","R","FF"
"(Intercept)",-16.1396976866674,0.828836654979148,-19.4727122524202,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000018709775588431,"whiff","L","FF"
"pitch_speed",0.0962788136300697,0.00893581905969088,10.7744811065367,0.00000000000000000000000000454336600069584,"whiff","L","FF"
"pfx_x",-0.0252116109242978,0.00553651143448751,-4.55369978417313,0.00000527105651057129,"whiff","L","FF"
"pfx_z",0.0574998806480975,0.00743400232296069,7.73471383920653,0.0000000000000103635946952247,"whiff","L","FF"
"zone1",0.0404147528246237,0.151447631828412,0.266856287792027,0.789579813746765,"whiff","L","FF"
"zone2",-0.174563534886061,0.125990771723362,-1.38552635640133,0.165891579090909,"whiff","L","FF"
"zone3",0.0326384112374756,0.160135490707186,0.20381747414854,0.838496137070274,"whiff","L","FF"
"zone4",0.0902496533965285,0.129053308674063,0.699320725084724,0.484351617812689,"whiff","L","FF"
"zone6",-0.316853602315789,0.152467258550781,-2.07817471978915,0.0376932696185064,"whiff","L","FF"
"zone7",-0.183366825540763,0.22533346811507,-0.813757614768188,0.415783820877841,"whiff","L","FF"
"zone8",0.0635466493791377,0.181206813291489,0.350685761891949,0.725824108386091,"whiff","L","FF"
"zone9",0.0122380560540558,0.246426696741779,0.0496620545414346,0.960391695215921,"whiff","L","FF"
"zone11",-0.00394515607320176,0.17295631977684,-0.0228101296228554,0.981801727857301,"whiff","L","FF"
"zone12",0.284368397128464,0.179168507595811,1.58715614113377,0.112477285356547,"whiff","L","FF"
"zone13",0.209641111803685,0.237238931245994,0.883670781615126,0.376873957395757,"whiff","L","FF"
"zone14",1.00402847205953,0.267582559018932,3.75221941123783,0.000175275957048545,"whiff","L","FF"
"dist_x",0.341316442215901,0.0618792659952597,5.51584503672114,0.0000000347108014487607,"whiff","L","FF"
"dist_z",1.14866294023018,0.101676024597326,11.2972841412644,0.0000000000000000000000000000135338941952075,"whiff","L","FF"
"dist_prop",1.28423558351599,0.271305264729324,4.73354464682891,0.00000220632403553903,"whiff","L","FF"
"I(dist_x^2)",-1.19515267582784,0.102551627915463,-11.6541560589662,0.000000000000000000000000000000218534797191093,"whiff","L","FF"
"I(dist_z^2)",-1.09132358218386,0.101849362734878,-10.7150752138201,0.00000000000000000000000000864869322811841,"whiff","L","FF"
"release_spin_rate",0.00072286856963166,0.000136678355712345,5.28882986530083,0.000000123101325413557,"whiff","L","FF"
"pred",15.9011269975701,0.59375889088868,26.7804444557805,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054602210815246,"whiff","L","FF"
"(Intercept)",0.861451972488915,1.84753950420406,0.466269852703386,0.641022355008384,"Barrel","L","FF"
"pitch_speed",-0.0701691619122818,0.0203311184908067,-3.45131832978155,0.000557855176302336,"Barrel","L","FF"
"pfx_x",-0.0662509149718777,0.0140061658576586,-4.73012497818248,0.0000022438166115661,"Barrel","L","FF"
"pfx_total",-0.0297127086676964,0.0177912562422224,-1.67007367344763,0.0949047881415948,"Barrel","L","FF"
"zone1",0.58726364143713,0.250152511262018,2.34762241032236,0.018893663748461,"Barrel","L","FF"
"zone2",0.0557946529339893,0.167915326227654,0.33227850123904,0.739678972080848,"Barrel","L","FF"
"zone3",-0.200884475493035,0.263240789308917,-0.763120624354663,0.445391461119006,"Barrel","L","FF"
"zone4",-0.0587395515186178,0.23691395650953,-0.247936222855047,0.804183752937776,"Barrel","L","FF"
"zone6",-0.170103513693559,0.211351155151751,-0.804838343899393,0.42091297160932,"Barrel","L","FF"
"zone7",0.028045542784976,0.32610509932928,0.0860015462581204,0.931465188045798,"Barrel","L","FF"
"zone8",0.225010021569557,0.183559071184095,1.22581804384862,0.220267155454564,"Barrel","L","FF"
"zone9",0.0498783874754624,0.27264918029493,0.182939803528872,0.8548452511727,"Barrel","L","FF"
"zone11",-0.0344102678771322,0.45345842115203,-0.0758840640553362,0.93951133534121,"Barrel","L","FF"
"zone12",-0.244759910029486,0.428298217404968,-0.571470765188963,0.567680572004855,"Barrel","L","FF"
"zone13",-13.3979540897823,230.575550732073,-0.0581065687460968,0.953663742133153,"Barrel","L","FF"
"zone14",-0.0524999977880626,0.486254043654013,-0.107968249258238,0.914020878365834,"Barrel","L","FF"
"dist_x",-0.506930235528728,0.188986967243162,-2.6823555238943,0.00731057215250296,"Barrel","L","FF"
"I(dist_x^2)",-1.07679367971839,0.156334870485546,-6.887738329741,0.00000000000566863552282507,"Barrel","L","FF"
"I(dist_z^2)",-1.11222207247649,0.165074501339578,-6.73769760593441,0.000000000016091601916094,"Barrel","L","FF"
"release_spin_rate",0.000508868310359437,0.000306551875978263,1.65997454341307,0.0969195738129151,"Barrel","L","FF"
"pred",83.5750618796236,5.15171553089061,16.2227633452376,0.0000000000000000000000000000000000000000000000000000000000348171219265053,"Barrel","L","FF"
"(Intercept)",-3.92530679227301,0.529470008610516,-7.41365276302271,0.000000000000122867364325995,"STRIKE","L","FF"
"pitch_speed",-0.0198533932870481,0.00553210951382206,-3.58875637538341,0.000332259150286774,"STRIKE","L","FF"
"pfx_total",0.0460515247947723,0.00471969945045339,9.7573002853706,0.00000000000000000000017166407987803,"STRIKE","L","FF"
"zone1",-0.646352945234608,0.0994463568376082,-6.49951356478624,0.0000000000805801359529552,"STRIKE","L","FF"
"zone2",-0.866380328421672,0.0829397965286584,-10.4458940663341,0.000000000000000000000000153006789874174,"STRIKE","L","FF"
"zone3",-0.687803873926313,0.103611894691422,-6.63827136811598,0.0000000000317383156535836,"STRIKE","L","FF"
"zone4",-0.245991972872412,0.0825760216454356,-2.97897583306509,0.00289213587846333,"STRIKE","L","FF"
"zone6",-0.43676843830029,0.0873538675156493,-4.99998970534468,0.000000573333755076132,"STRIKE","L","FF"
"zone7",0.602296011015343,0.110837676969757,5.4340367597174,0.0000000550932234564033,"STRIKE","L","FF"
"zone8",0.222007620282511,0.0881620747271637,2.51817599539893,0.0117964360549578,"STRIKE","L","FF"
"zone9",0.435611722446567,0.110684934370242,3.93560085593441,0.0000829888029147381,"STRIKE","L","FF"
"zone11",-1.06859506491335,0.112959259824836,-9.4600041339719,0.00000000000000000000307931031700656,"STRIKE","L","FF"
"zone12",-0.772933739337417,0.1184326040381,-6.52635940596869,0.000000000067387510792263,"STRIKE","L","FF"
"zone13",-0.821832534047201,0.126989731978603,-6.47164555151335,0.0000000000969413133519003,"STRIKE","L","FF"
"zone14",-0.958295585561023,0.148777355645601,-6.4411387163229,0.000000000118580430514898,"STRIKE","L","FF"
"dist_x",0.369851110214724,0.0417864605596594,8.85097960586252,0.000000000000000000867544123183484,"STRIKE","L","FF"
"dist_z",0.235001276892918,0.04645577990044,5.05860147857926,0.000000422342475015698,"STRIKE","L","FF"
"dist_prop",3.80373208100386,0.184243776083088,20.6451048815266,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108027837808003,"STRIKE","L","FF"
"I(dist_x^2)",-2.10466669891784,0.0774978503155775,-27.1577429612237,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205131049145509,"STRIKE","L","FF"
"I(dist_z^2)",-1.94697922566892,0.0780551207955578,-24.9436450270631,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025028569454062,"STRIKE","L","FF"
"release_spin_rate",0.000442423196533645,0.0000866149676666435,5.10793005472688,0.000000325707166939973,"STRIKE","L","FF"
"pred",7.39404163340099,0.408290130651717,18.1097731203998,0.000000000000000000000000000000000000000000000000000000000000000000000000266845923451039,"STRIKE","L","FF"
"(Intercept)",-7.22772962737543,0.325420118669875,-22.210457229621,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272154140032836,"whiff","R","SL"
"pfx_x",0.02547430978878,0.0108290464952317,2.35240561576654,0.018652422799156,"whiff","R","SL"
"pfx_z",0.0343863216187932,0.00719542916861337,4.7789118359732,0.00000176246450313176,"whiff","R","SL"
"pfx_total",-0.0416726528303694,0.0117331189737177,-3.55171143527281,0.000382734352203444,"whiff","R","SL"
"zone1",0.332654339794496,0.294427399494026,1.12983486036342,0.258545816043575,"whiff","R","SL"
"zone2",0.442224581451714,0.201977350375602,2.18947610031195,0.0285622537882427,"whiff","R","SL"
"zone3",-0.335311709499901,0.238328566619176,-1.40693041651064,0.159448023192418,"whiff","R","SL"
"zone4",-0.820605896003382,0.288061906645357,-2.84871368644261,0.0043896364198571,"whiff","R","SL"
"zone6",-0.455677235547823,0.170154692780089,-2.67801744461288,0.00740593610665219,"whiff","R","SL"
"zone7",-0.332114485500482,0.273389098051973,-1.21480515451038,0.224440414451424,"whiff","R","SL"
"zone8",0.00975572899552443,0.1670148868948,0.0584123318400316,0.953420192157333,"whiff","R","SL"
"zone9",-0.0535779154114562,0.19102375491506,-0.280477762754062,0.779110983821083,"whiff","R","SL"
"zone11",0.768534761268125,0.356015421841393,2.15871199425319,0.0308725176755095,"whiff","R","SL"
"zone12",-0.567553356337378,0.254374914656698,-2.23116873416289,0.0256699541791375,"whiff","R","SL"
"zone13",-0.00796123682794623,0.260107338447653,-0.0306075056377097,0.975582556322325,"whiff","R","SL"
"zone14",0.0799621397812994,0.220387280652806,0.362825565724323,0.716735192713038,"whiff","R","SL"
"dist_x",-0.563815989840052,0.097430550219575,-5.78685010573587,0.0000000071718521214533,"whiff","R","SL"
"dist_z",-0.521204597355334,0.0933756696189967,-5.58180304871728,0.0000000238037845767059,"whiff","R","SL"
"dist_prop",1.51769997315975,0.293510724085081,5.17085015510304,0.000000233031376646933,"whiff","R","SL"
"I(dist_x^2)",-0.720500160374877,0.085291932827978,-8.44745964226213,0.0000000000000000297709726638204,"whiff","R","SL"
"I(dist_z^2)",-0.577356251286005,0.0938977197176983,-6.14877819207768,0.00000000078082081064749,"whiff","R","SL"
"release_spin_rate",0.000455143974282887,0.0000951370570741783,4.7840871715005,0.00000171766132733646,"whiff","R","SL"
"pred",19.6740738926092,1.02673364333299,19.1618089271363,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000077144964499684,"whiff","R","SL"
"(Intercept)",-1.44467901017868,2.15475323024742,-0.670461466259315,0.502563662802914,"Barrel","R","SL"
"pitch_speed",-0.0484131839034552,0.0247624602825452,-1.95510394973076,0.0505708021758195,"Barrel","R","SL"
"pfx_x",-0.031467759265382,0.0167530975132007,-1.8783248435453,0.0603367399577545,"Barrel","R","SL"
"pfx_z",-0.0282687115166573,0.0187006334519478,-1.51164459692208,0.130624299940911,"Barrel","R","SL"
"dist_x",0.42273709678325,0.121382415935323,3.48268811034789,0.000496406328908618,"Barrel","R","SL"
"dist_prop",1.03911886601454,0.690902529762358,1.50400211499002,0.132580822163464,"Barrel","R","SL"
"I(dist_x^2)",-1.79503525228781,0.445499687603049,-4.02926265099255,0.0000559520762044122,"Barrel","R","SL"
"I(dist_z^2)",-2.18279943602426,0.470761690347657,-4.63673973643069,0.00000353947622774807,"Barrel","R","SL"
"pred",160.298149666885,10.8356578488167,14.793578009146,0.000000000000000000000000000000000000000000000000161154217972362,"Barrel","R","SL"
"(Intercept)",-4.69510687999542,0.632620563658061,-7.42167920190021,0.00000000000011564464580095,"STRIKE","R","SL"
"pitch_speed",-0.0210599297904785,0.00684051533212484,-3.07870515128818,0.00207902331530038,"STRIKE","R","SL"
"pfx_x",0.0175470808604173,0.00860283610021662,2.03968559391425,0.041381650677588,"STRIKE","R","SL"
"pfx_z",0.018986307721958,0.00579314691839543,3.27737376410553,0.00104777570413332,"STRIKE","R","SL"
"pfx_total",-0.0376428702668847,0.0091182496180285,-4.1283000404439,0.0000365455048770763,"STRIKE","R","SL"
"zone1",0.753049188536334,0.169936909423703,4.43134567463953,0.0000093646824187342,"STRIKE","R","SL"
"zone2",0.403847959810563,0.124646317481198,3.239950990702,0.00119550245627758,"STRIKE","R","SL"
"zone3",0.138537535388436,0.148281539131247,0.934287141879564,0.350155795176227,"STRIKE","R","SL"
"zone4",0.166396357962428,0.133648278727061,1.24503180697333,0.213120058737351,"STRIKE","R","SL"
"zone6",-0.340335848706296,0.108458413848871,-3.13793864974395,0.0017014048433355,"STRIKE","R","SL"
"zone7",0.0709594994900564,0.162119498971562,0.437698734206572,0.661604687202021,"STRIKE","R","SL"
"zone8",-0.21378511364683,0.108722809305637,-1.9663317661876,0.049260299690645,"STRIKE","R","SL"
"zone9",-0.265763250362568,0.128524003075377,-2.0678102455827,0.0386578698859096,"STRIKE","R","SL"
"zone11",-0.930476951904583,0.232437913944324,-4.00312038649366,0.0000625124716516344,"STRIKE","R","SL"
"zone12",-0.830176028723586,0.169842400699479,-4.88791977329917,0.00000101907039729328,"STRIKE","R","SL"
"zone13",-0.983562948372925,0.185698188225604,-5.29656728356445,0.000000117999871596563,"STRIKE","R","SL"
"zone14",-0.581701719327478,0.150606661333435,-3.86239037621066,0.000112282954505832,"STRIKE","R","SL"
"dist_x",-0.23113320348033,0.0667511060688867,-3.46261233846526,0.000534958543861189,"STRIKE","R","SL"
"dist_z",-0.235272178029059,0.0605308910402426,-3.8868117416716,0.000101569463334123,"STRIKE","R","SL"
"dist_prop",1.60214047408515,0.198546743715433,8.06933643989355,0.000000000000000706812498517718,"STRIKE","R","SL"
"I(dist_x^2)",-0.773193101970196,0.0641302120470379,-12.0566122782048,0.00000000000000000000000000000000178995192154379,"STRIKE","R","SL"
"I(dist_z^2)",-0.666186744291481,0.0680459433969936,-9.79024922036593,0.000000000000000000000123989893789498,"STRIKE","R","SL"
"release_spin_rate",0.000376081578974144,0.0000795901417009027,4.7252281618928,0.00000229857129564454,"STRIKE","R","SL"
"pred",13.2223640088939,0.826271733864994,16.0024401985102,0.00000000000000000000000000000000000000000000000000000000122863515333364,"STRIKE","R","SL"
"(Intercept)",-15.5491656595457,1.38042406197548,-11.2640500030793,0.0000000000000000000000000000197470083248328,"whiff","L","SL"
"pitch_speed",0.0423406496120533,0.0136073777423731,3.11159507832323,0.00186079541694098,"whiff","L","SL"
"pfx_total",-0.01641689200464,0.00971676943670249,-1.68954219934761,0.0911155720170886,"whiff","L","SL"
"zone1",0.348399262679048,0.350437798334461,0.99418288876057,0.32013383705399,"whiff","L","SL"
"zone2",0.556254787743508,0.28404362588707,1.95834279331677,0.0501898025722535,"whiff","L","SL"
"zone3",-0.697029865316657,0.381183994038692,-1.82859164135288,0.0674608058105288,"whiff","L","SL"
"zone4",0.122125589776295,0.268478339238155,0.454880606468454,0.649195135786749,"whiff","L","SL"
"zone6",-1.12467321366009,0.284815426584,-3.94877913443496,0.0000785507840748207,"whiff","L","SL"
"zone7",-0.582001440055032,0.322194811084195,-1.8063650314435,0.0708613399519974,"whiff","L","SL"
"zone8",-0.652260363476043,0.259298427791498,-2.51548136651459,0.0118869960649877,"whiff","L","SL"
"zone9",-0.809157807088563,0.30586336099735,-2.64548785591738,0.00815732150140104,"whiff","L","SL"
"zone11",0.1747170021496,0.426750506074822,0.409412524794915,0.682236949689125,"whiff","L","SL"
"zone12",-1.27106771487934,0.4144973388012,-3.06652804709313,0.00216560490280741,"whiff","L","SL"
"zone13",-0.676813945647649,0.353455010683067,-1.91485174970268,0.0555114126510991,"whiff","L","SL"
"zone14",-0.557554381604832,0.344642941121481,-1.61777397729525,0.105711316463637,"whiff","L","SL"
"dist_x",-0.682593561159864,0.100457455962489,-6.79485215527203,0.0000000000108423660020253,"whiff","L","SL"
"dist_z",-0.343737779729445,0.126141997309875,-2.72500663585525,0.00643001947211171,"whiff","L","SL"
"dist_prop",2.75814809386671,0.470743768855738,5.85912820592631,0.0000000046530337836831,"whiff","L","SL"
"I(dist_x^2)",-1.10990033959278,0.147515567121675,-7.52395398837672,0.0000000000000531440536191602,"whiff","L","SL"
"I(dist_z^2)",-0.916924516875981,0.152447454037714,-6.01469222732407,0.00000000180228786818304,"whiff","L","SL"
"release_spin_rate",0.000303002708975582,0.000149430923229376,2.02771088090298,0.0425897644776451,"whiff","L","SL"
"pred",50.1664435499264,3.38231585684198,14.8319807118091,0.0000000000000000000000000000000000000000000000000910074699617888,"whiff","L","SL"
"(Intercept)",2.71163732891177,3.33822634804189,0.812298821648908,0.416620186544465,"Barrel","L","SL"
"pitch_speed",-0.103913900077018,0.0383593164535929,-2.70896120379863,0.00674942315871245,"Barrel","L","SL"
"pfx_x",-0.057475555093574,0.0237060689506302,-2.42450805375078,0.0153291433099896,"Barrel","L","SL"
"pfx_z",0.0651150665337593,0.0243421663376635,2.67499061630393,0.00747313418662366,"Barrel","L","SL"
"dist_x",-0.666314393025827,0.176384349809045,-3.77762762822883,0.00015832937192947,"Barrel","L","SL"
"dist_z",-0.91816077889591,0.277775921371687,-3.30540089422414,0.000948406382299289,"Barrel","L","SL"
"I(dist_x^2)",-1.39550744119572,0.209746647850372,-6.65330032922021,0.0000000000286592536594956,"Barrel","L","SL"
"I(dist_z^2)",-1.85606725675393,0.29431635374826,-6.3063680733878,0.000000000285659247662203,"Barrel","L","SL"
"pred",204.331154316282,17.0627772033974,11.9752577133573,0.00000000000000000000000000000000478947024067134,"Barrel","L","SL"
"(Intercept)",-8.6153078364821,0.956543243055402,-9.00671025489969,0.000000000000000000212330124313999,"STRIKE","L","SL"
